U:0,U:0,U:0,,,,,,Points:0,Points:1,Points:2
22.981,22.983,22.985,22.983,0.964820956,,,,10.38,11.25,5
22.981,22.983,22.985,22.983,0.964820956,,,,10.38,11.25,5.0338
22.981,22.983,22.985,22.983,0.964820956,,,,10.38,11.25,5.0675
22.981,22.983,22.985,22.983,0.964820956,,,,10.38,11.25,5.1013
22.982,22.984,22.986,22.984,0.964862936,,,,10.38,11.25,5.135
22.982,22.985,22.986,22.98433333,0.964876929,,,,10.38,11.25,5.1687
22.982,22.986,22.987,22.985,0.964904916,,,,10.38,11.25,5.2025
22.983,22.986,22.987,22.98533333,0.964918909,,,,10.38,11.25,5.2362
22.983,22.987,22.987,22.98566667,0.964932902,,,,10.38,11.25,5.27
22.984,22.988,22.988,22.98666667,0.964974882,,,,10.38,11.25,5.3038
22.984,22.989,22.988,22.987,0.964988875,,,,10.38,11.25,5.3375
22.985,22.991,22.989,22.98833333,0.965044848,,,,10.38,11.25,5.3713
22.987,22.992,22.99,22.98966667,0.965100821,,,,10.38,11.25,5.405
22.988,22.994,22.991,22.991,0.965156794,,,,10.38,11.25,5.4387
22.989,22.995,22.993,22.99233333,0.965212767,,,,10.38,11.25,5.4725
22.99,22.997,22.994,22.99366667,0.96526874,,,,10.38,11.25,5.5062
22.991,22.998,22.995,22.99466667,0.96531072,,,,10.38,11.25,5.54
22.992,23,22.996,22.996,0.965366693,,,,10.38,11.25,5.5738
22.994,23.002,22.997,22.99766667,0.96543666,,,,10.38,11.25,5.6075
22.996,23.005,22.999,23,0.965534612,,,,10.38,11.25,5.6413
22.998,23.007,23.001,23.002,0.965618572,,,,10.38,11.25,5.675
23,23.009,23.003,23.004,0.965702531,,,,10.38,11.25,5.7087
23.002,23.012,23.005,23.00633333,0.965800484,,,,10.38,11.25,5.7425
23.004,23.014,23.007,23.00833333,0.965884444,,,,10.38,11.25,5.7762
23.006,23.017,23.009,23.01066667,0.965982396,,,,10.38,11.25,5.81
23.009,23.02,23.011,23.01333333,0.966094343,,,,10.38,11.25,5.8438
23.012,23.024,23.015,23.017,0.966248268,,,,10.38,11.25,5.8775
23.015,23.027,23.018,23.02,0.966374208,,,,10.38,11.25,5.9113
23.019,23.031,23.022,23.024,0.966542127,,,,10.38,11.25,5.945
23.022,23.035,23.025,23.02733333,0.966682059,,,,10.38,11.25,5.9788
23.026,23.038,23.028,23.03066667,0.966821992,,,,10.38,11.25,6.0125
23.029,23.042,23.032,23.03433333,0.966975918,,,,10.38,11.25,6.0462
23.033,23.046,23.035,23.038,0.967129843,,,,10.38,11.25,6.08
23.038,23.052,23.041,23.04366667,0.967367729,,,,10.38,11.25,6.1137
23.044,23.058,23.047,23.04966667,0.967619607,,,,10.38,11.25,6.1475
23.05,23.063,23.052,23.055,0.967843499,,,,10.38,11.25,6.1813
23.055,23.069,23.058,23.06066667,0.968081385,,,,10.38,11.25,6.215
23.061,23.074,23.063,23.066,0.968305277,,,,10.38,11.25,6.2488
23.066,23.08,23.069,23.07166667,0.968543162,,,,10.38,11.25,6.2825
23.072,23.086,23.074,23.07733333,0.968781048,,,,10.38,11.25,6.3162
23.079,23.094,23.082,23.085,0.969102892,,,,10.38,11.25,6.35
23.088,23.102,23.091,23.09366667,0.969466717,,,,10.38,11.25,6.3837
