U:0,U:0,U:0,,,,,,Points:0,Points:1,Points:2
23.439,22.127,22.235,22.60033333,0.948756699,,,,13.53,11.25,5
23.544,22.182,22.322,22.68266667,0.952213033,,,,13.53,11.25,5.0338
23.648,22.205,22.409,22.754,0.95520759,,,,13.53,11.25,5.0675
23.562,22.118,22.431,22.70366667,0.953094608,,,,13.53,11.25,5.1013
23.271,21.934,22.331,22.512,0.945048487,,,,13.53,11.25,5.135
22.98,21.749,22.128,22.28566667,0.935547066,,,,13.53,11.25,5.1687
22.689,21.565,21.924,22.05933333,0.926045646,,,,13.53,11.25,5.2025
22.398,21.38,21.721,21.833,0.916544226,,,,13.53,11.25,5.2362
22.107,21.196,21.517,21.60666667,0.907042805,,,,13.53,11.25,5.27
21.816,21.052,21.314,21.394,0.898115109,,,,13.53,11.25,5.3038
21.545,21.003,21.134,21.22733333,0.891118481,,,,13.53,11.25,5.3375
21.385,20.912,21.09,21.129,0.886990471,,,,13.53,11.25,5.3713
21.225,20.82,20.964,21.003,0.88170102,,,,13.53,11.25,5.405
21.066,20.729,20.839,20.878,0.876453549,,,,13.53,11.25,5.4387
20.906,20.637,20.713,20.752,0.871164099,,,,13.53,11.25,5.4725
20.746,20.546,20.588,20.62666667,0.865902635,,,,13.53,11.25,5.5062
20.587,20.454,20.462,20.501,0.860627178,,,,13.53,11.25,5.54
20.427,20.439,20.337,20.401,0.856429201,,,,13.53,11.25,5.5738
20.386,20.422,20.307,20.37166667,0.855197795,,,,13.53,11.25,5.6075
20.371,20.403,20.301,20.35833333,0.854638064,,,,13.53,11.25,5.6413
20.357,20.384,20.297,20.346,0.854120314,,,,13.53,11.25,5.675
20.343,20.365,20.292,20.33333333,0.85358857,,,,13.53,11.25,5.7087
20.329,20.346,20.287,20.32066667,0.853056827,,,,13.53,11.25,5.7425
20.314,20.328,20.282,20.308,0.852525083,,,,13.53,11.25,5.7762
20.3,20.314,20.278,20.29733333,0.852077299,,,,13.53,11.25,5.81
20.28,20.295,20.259,20.278,0.85126569,,,,13.53,11.25,5.8438
20.255,20.264,20.228,20.249,0.850048277,,,,13.53,11.25,5.8775
20.229,20.234,20.201,20.22133333,0.848886837,,,,13.53,11.25,5.9113
20.203,20.203,20.173,20.193,0.84769741,,,,13.53,11.25,5.945
20.178,20.172,20.146,20.16533333,0.84653597,,,,13.53,11.25,5.9788
20.152,20.142,20.118,20.13733333,0.845360536,,,,13.53,11.25,6.0125
20.127,20.109,20.09,20.10866667,0.844157116,,,,13.53,11.25,6.0462
20.096,20.069,20.058,20.07433333,0.842715811,,,,13.53,11.25,6.08
20.039,20.011,19.997,20.01566667,0.840252998,,,,13.53,11.25,6.1137
19.981,19.952,19.936,19.95633333,0.837762199,,,,13.53,11.25,6.1475
19.924,19.894,19.876,19.898,0.835313379,,,,13.53,11.25,6.1813
19.866,19.836,19.815,19.839,0.832836573,,,,13.53,11.25,6.215
19.809,19.778,19.755,19.78066667,0.830387753,,,,13.53,11.25,6.2488
19.751,19.719,19.695,19.72166667,0.827910947,,,,13.53,11.25,6.2825
19.694,19.657,19.634,19.66166667,0.825392161,,,,13.53,11.25,6.3162
19.629,19.596,19.575,19.6,0.822803409,,,,13.53,11.25,6.35
19.562,19.536,19.511,19.53633333,0.820130697,,,,13.53,11.25,6.3837
19.495,19.476,19.446,19.47233333,0.817443992,,,,13.53,11.25,6.4175
19.428,19.416,19.381,19.40833333,0.814757287,,,,13.53,11.25,6.4513
19.361,19.356,19.316,19.34433333,0.812070582,,,,13.53,11.25,6.485
19.295,19.296,19.251,19.28066667,0.80939787,,,,13.53,11.25,6.5188
19.228,19.242,19.186,19.21866667,0.806795125,,,,13.53,11.25,6.5525
19.179,19.202,19.143,19.17466667,0.804948015,,,,13.53,11.25,6.5862
19.149,19.175,19.124,19.14933333,0.803884528,,,,13.53,11.25,6.62
19.119,19.148,19.1,19.12233333,0.802751074,,,,13.53,11.25,6.6537
19.09,19.121,19.077,19.096,0.801645607,,,,13.53,11.25,6.6875
19.06,19.094,19.054,19.06933333,0.800526146,,,,13.53,11.25,6.7213
19.03,19.067,19.03,19.04233333,0.799392693,,,,13.53,11.25,6.755
19,19.044,19.007,19.017,0.798329205,,,,13.53,11.25,6.7888
18.991,19.047,19.008,19.01533333,0.798259239,,,,13.53,11.25,6.8225
19.1,19.163,19.152,19.13833333,0.80342275,,,,13.53,11.25,6.8562
19.208,19.279,19.269,19.252,0.80819445,,,,13.53,11.25,6.89
19.316,19.394,19.387,19.36566667,0.81296615,,,,13.53,11.25,6.9237
19.424,19.51,19.504,19.47933333,0.81773785,,,,13.53,11.25,6.9575
19.533,19.626,19.622,19.59366667,0.822537537,,,,13.53,11.25,6.9913
19.641,19.742,19.739,19.70733333,0.827309237,,,,13.53,11.25,7.025
19.749,19.883,19.857,19.82966667,0.832444762,,,,13.53,11.25,7.0588
20.027,20.168,20.143,20.11266667,0.844325035,,,,13.53,11.25,7.0925
20.343,20.485,20.462,20.43,0.857646614,,,,13.53,11.25,7.1262
20.658,20.801,20.779,20.746,0.87091222,,,,13.53,11.25,7.16
20.974,21.118,21.096,21.06266667,0.884205813,,,,13.53,11.25,7.1937
21.29,21.435,21.413,21.37933333,0.897499405,,,,13.53,11.25,7.2275
21.606,21.752,21.73,21.696,0.910792998,,,,13.53,11.25,7.2613
21.921,22.071,22.047,22.013,0.924100584,,,,13.53,11.25,7.295
22.212,22.359,22.322,22.29766667,0.936050824,,,,13.53,11.25,7.3288
22.476,22.611,22.561,22.54933333,0.946615731,,,,13.53,11.25,7.3625
22.739,22.864,22.817,22.80666667,0.957418524,,,,13.53,11.25,7.3962
23.002,23.116,23.073,23.06366667,0.968207324,,,,13.53,11.25,7.43
23.266,23.369,23.328,23.321,0.979010117,,,,13.53,11.25,7.4637
23.529,23.621,23.584,23.578,0.989798917,,,,13.53,11.25,7.4975
23.793,23.866,23.84,23.833,1.000503757,,,,13.53,11.25,7.5312
24.026,24.066,24.066,24.05266667,1.009725312,,,,13.53,11.25,7.565
24.088,24.124,24.115,24.109,1.012090173,,,,13.53,11.25,7.5988
24.15,24.183,24.174,24.169,1.014608958,,,,13.53,11.25,7.6325
24.212,24.241,24.233,24.22866667,1.017113751,,,,13.53,11.25,7.6663
24.274,24.3,24.291,24.28833333,1.019618544,,,,13.53,11.25,7.7
24.336,24.358,24.35,24.348,1.022123337,,,,13.53,11.25,7.7337
24.398,24.417,24.409,24.408,1.024642122,,,,13.53,11.25,7.7675
24.46,24.467,24.467,24.46466667,1.027020976,,,,13.53,11.25,7.8012
24.473,24.476,24.478,24.47566667,1.027482753,,,,13.53,11.25,7.835
24.474,24.477,24.478,24.47633333,1.02751074,,,,13.53,11.25,7.8688
24.475,24.478,24.478,24.477,1.027538726,,,,13.53,11.25,7.9025
24.476,24.478,24.479,24.47766667,1.027566713,,,,13.53,11.25,7.9363
24.477,24.479,24.479,24.47833333,1.027594699,,,,13.53,11.25,7.97
24.478,24.48,24.48,24.47933333,1.027636679,,,,13.53,11.25,8.0037
24.48,24.479,24.48,24.47966667,1.027650672,,,,13.53,11.25,8.0375
24.477,24.476,24.477,24.47666667,1.027524733,,,,13.53,11.25,8.0712
24.47,24.469,24.47,24.46966667,1.027230875,,,,13.53,11.25,8.105
24.463,24.462,24.463,24.46266667,1.026937016,,,,13.53,11.25,8.1388
24.457,24.456,24.456,24.45633333,1.026671145,,,,13.53,11.25,8.1725
24.45,24.449,24.449,24.44933333,1.026377286,,,,13.53,11.25,8.2063
24.443,24.442,24.442,24.44233333,1.026083428,,,,13.53,11.25,8.24
24.436,24.435,24.436,24.43566667,1.025803563,,,,13.53,11.25,8.2738
24.43,24.428,24.429,24.429,1.025523698,,,,13.53,11.25,8.3075
24.423,24.421,24.422,24.422,1.025229839,,,,13.53,11.25,8.3413
24.416,24.415,24.415,24.41533333,1.024949974,,,,13.53,11.25,8.375
