"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.56337,8.3922,0.33779,0.13086,8.3978,0.34299,0.14096,16.377,1,0,13.38,12.055,5
-0.56361,8.392,0.33771,0.13223,8.3977,0.34297,0.14228,16.381,1,0.0033751,13.38,12.055,5.0034
-0.56384,8.3919,0.33763,0.13359,8.3977,0.34296,0.14359,16.384,1,0.0067501,13.38,12.055,5.0068
-0.56407,8.3917,0.33755,0.13496,8.3976,0.34294,0.14491,16.387,1,0.010125,13.38,12.055,5.0101
-0.56431,8.3916,0.33746,0.13632,8.3976,0.34293,0.14622,16.391,1,0.0135,13.38,12.055,5.0135
-0.56454,8.3915,0.33738,0.13769,8.3976,0.34291,0.14753,16.394,1,0.016875,13.38,12.055,5.0169
-0.56477,8.3913,0.3373,0.13905,8.3975,0.3429,0.14885,16.397,1,0.02025,13.38,12.055,5.0202
-0.565,8.3912,0.33722,0.14042,8.3975,0.34288,0.15016,16.401,1,0.023625,13.38,12.055,5.0236
-0.56524,8.391,0.33714,0.14178,8.3975,0.34287,0.15148,16.404,1,0.027,13.38,12.055,5.027
-0.56543,8.3909,0.33705,0.14313,8.3974,0.34285,0.15278,16.407,1,0.030375,13.38,12.055,5.0304
-0.56559,8.3908,0.33697,0.14447,8.3974,0.34284,0.15407,16.409,1,0.03375,13.38,12.055,5.0338
-0.56576,8.3907,0.33689,0.14581,8.3973,0.34282,0.15537,16.411,1,0.037125,13.38,12.055,5.0371
-0.56592,8.3906,0.3368,0.14714,8.3973,0.34281,0.15666,16.414,1,0.0405,13.38,12.055,5.0405
-0.56609,8.3905,0.33672,0.14848,8.3973,0.34279,0.15795,16.416,1,0.043875,13.38,12.055,5.0439
-0.56625,8.3904,0.33664,0.14982,8.3972,0.34278,0.15925,16.418,1,0.04725,13.38,12.055,5.0472
-0.56641,8.3903,0.33656,0.15116,8.3972,0.34277,0.16054,16.421,1,0.050625,13.38,12.055,5.0506
-0.56658,8.3902,0.33647,0.1525,8.3972,0.34275,0.16184,16.423,1,0.054,13.38,12.055,5.054
-0.56674,8.39,0.33639,0.15383,8.3971,0.34274,0.16313,16.425,1,0.057375,13.38,12.055,5.0574
-0.56691,8.3899,0.33631,0.15517,8.3971,0.34272,0.16442,16.428,1,0.06075,13.38,12.055,5.0608
-0.56707,8.3898,0.33622,0.15651,8.3971,0.34271,0.16572,16.43,1,0.064125,13.38,12.055,5.0641
-0.56724,8.3897,0.33614,0.15785,8.397,0.3427,0.16701,16.432,1,0.0675,13.38,12.055,5.0675
-0.5674,8.3896,0.33606,0.15919,8.397,0.34268,0.1683,16.435,1,0.070875,13.38,12.055,5.0709
-0.56757,8.3895,0.33597,0.16053,8.397,0.34267,0.1696,16.437,1,0.07425,13.38,12.055,5.0743
-0.56773,8.3894,0.33589,0.16186,8.3969,0.34265,0.17089,16.44,1,0.077625,13.38,12.055,5.0776
-0.5679,8.3893,0.33581,0.1632,8.3969,0.34264,0.17219,16.442,1,0.081,13.38,12.055,5.081
-0.56806,8.3892,0.33572,0.16454,8.3969,0.34263,0.17348,16.444,1,0.084375,13.38,12.055,5.0844
