"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
14.766,-0.013003,0.18674,14.781,-0.012571,0.17153,1,0,7.68,11.055,6.845
14.755,-0.013827,0.1935,14.771,-0.013398,0.17785,1,0.10035,7.7804,11.055,6.845
14.743,-0.014435,0.20159,14.759,-0.01405,0.18544,1,0.2007,7.8807,11.055,6.845
14.73,-0.015044,0.20967,14.747,-0.014702,0.19303,1,0.30105,7.9811,11.055,6.845
14.718,-0.015829,0.21775,14.736,-0.015521,0.20062,1,0.4014,8.0814,11.055,6.845
14.704,-0.016697,0.22707,14.723,-0.016456,0.20941,1,0.50175,8.1818,11.055,6.845
14.689,-0.017412,0.23684,14.709,-0.017261,0.21865,1,0.6021,8.2821,11.055,6.845
14.674,-0.018206,0.24661,14.695,-0.01814,0.22788,1,0.70245,8.3825,11.055,6.845
14.658,-0.019321,0.25759,14.68,-0.01937,0.2383,1,0.8028,8.4828,11.055,6.845
14.641,-0.020144,0.26939,14.664,-0.020358,0.24951,1,0.90315,8.5831,11.055,6.845
14.624,-0.021097,0.28118,14.648,-0.021467,0.26071,1,1.0035,8.6835,11.055,6.845
14.605,-0.022333,0.29456,14.63,-0.022926,0.27347,1,1.1038,8.7838,11.055,6.845
14.585,-0.023254,0.30875,14.611,-0.024132,0.28702,1,1.2042,8.8842,11.055,6.845
14.564,-0.024606,0.32292,14.592,-0.025739,0.30055,1,1.3046,8.9846,11.055,6.845
14.541,-0.025708,0.33969,14.57,-0.02729,0.31662,1,1.4049,9.0849,11.055,6.845
14.518,-0.026699,0.35672,14.548,-0.028756,0.33295,1,1.5053,9.1853,11.055,6.845
14.493,-0.028325,0.37476,14.525,-0.030899,0.35027,1,1.6056,9.2856,11.055,6.845
14.466,-0.029334,0.39512,14.5,-0.032672,0.36986,1,1.706,9.386,11.055,6.845
14.439,-0.030845,0.41545,14.475,-0.034903,0.38941,1,1.8063,9.4863,11.055,6.845
14.408,-0.032008,0.43924,14.446,-0.037193,0.41233,1,1.9067,9.5866,11.055,6.845
14.376,-0.032947,0.46348,14.416,-0.039328,0.4357,1,2.007,9.687,11.055,6.845
14.341,-0.034583,0.49041,14.384,-0.042455,0.46167,1,2.1073,9.7873,11.055,6.845
14.305,-0.03532,0.51918,14.35,-0.045014,0.48943,1,2.2077,9.8877,11.055,6.845
14.265,-0.036807,0.55034,14.313,-0.048627,0.51946,1,2.3081,9.9881,11.055,6.845
14.223,-0.037151,0.58435,14.274,-0.051683,0.55228,1,2.4084,10.088,11.055,6.845
14.177,-0.038259,0.62111,14.232,-0.055918,0.58764,1,2.5088,10.189,11.055,6.845
14.128,-0.037955,0.66118,14.187,-0.059554,0.62625,1,2.6091,10.289,11.055,6.845
14.073,-0.038297,0.70526,14.137,-0.064588,0.66852,1,2.7095,10.389,11.055,6.845
14.016,-0.037324,0.75236,14.084,-0.069156,0.71373,1,2.8098,10.49,11.055,6.845
13.951,-0.035998,0.80587,14.025,-0.074954,0.76482,1,2.9102,10.59,11.055,6.845
13.882,-0.034619,0.86236,13.963,-0.081412,0.81855,1,3.0105,10.691,11.055,6.845
13.804,-0.030133,0.92656,13.891,-0.087417,0.87966,1,3.1108,10.791,11.055,6.845
13.718,-0.025996,0.99693,13.813,-0.0954,0.94604,1,3.2112,10.891,11.055,6.845
13.624,-0.020718,1.0731,13.728,-0.10409,1.0176,1,3.3116,10.992,11.055,6.845
13.515,-0.011039,1.1587,13.627,-0.11236,1.0982,1,3.4119,11.092,11.055,6.845
13.399,-0.0013233,1.2477,13.52,-0.12259,1.1813,1,3.5123,11.192,11.055,6.845
13.265,0.011913,1.3481,13.396,-0.13394,1.2745,1,3.6126,11.293,11.055,6.845
13.104,0.030067,1.4678,13.245,-0.14713,1.3851,1,3.713,11.393,11.055,6.845
12.921,0.050969,1.5998,13.073,-0.16149,1.5065,1,3.8133,11.493,11.055,6.845
12.705,0.075451,1.743,12.867,-0.17634,1.638,1,3.9137,11.594,11.055,6.845
12.462,0.10843,1.8975,12.677,-0.18817,1.7795,1,4.014,11.694,11.055,6.845
12.224,0.16281,2.0613,12.518,-0.16681,1.9253,1,4.1143,11.794,11.055,6.845
11.892,0.23569,2.206,12.086,-0.045803,2.0401,1,4.2147,11.895,11.055,6.845
11.279,0.24437,2.239,11.26,0.17337,2.0425,1,4.3151,11.995,11.055,6.845
10.769,0.091821,2.064,11.067,0.31916,1.8949,1,4.4154,12.095,11.055,6.845
10.622,-0.048083,1.7775,11.196,0.35592,1.7098,1,4.5158,12.196,11.055,6.845
