"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.6366,0.10084,-0.013114,9.6371,0.10049,-0.013432,6.1214,1,0,10.68,12.25,3.155
9.6352,0.10131,-0.013674,9.6357,0.10096,-0.013994,6.1352,1,0.010035,10.69,12.25,3.155
9.6338,0.10177,-0.014235,9.6343,0.10142,-0.014556,6.149,1,0.02007,10.7,12.25,3.155
9.6324,0.10224,-0.014795,9.6329,0.10188,-0.015118,6.1629,1,0.030105,10.71,12.25,3.155
9.631,0.10271,-0.015356,9.6315,0.10234,-0.01568,6.1767,1,0.04014,10.72,12.25,3.155
9.6296,0.10318,-0.015917,9.6301,0.10281,-0.016242,6.1905,1,0.050175,10.73,12.25,3.155
9.6282,0.10364,-0.016477,9.6287,0.10327,-0.016804,6.2044,1,0.060209,10.74,12.25,3.155
9.6268,0.10411,-0.017038,9.6273,0.10373,-0.017366,6.2182,1,0.070245,10.75,12.25,3.155
9.6254,0.10458,-0.017598,9.6259,0.1042,-0.017928,6.232,1,0.080279,10.76,12.25,3.155
9.624,0.10504,-0.018159,9.6244,0.10466,-0.01849,6.2459,1,0.090315,10.77,12.25,3.155
9.6225,0.10551,-0.01872,9.623,0.10512,-0.019052,6.2597,1,0.10035,10.78,12.25,3.155
9.6211,0.10598,-0.01928,9.6216,0.10559,-0.019614,6.2735,1,0.11038,10.79,12.25,3.155
9.6197,0.10645,-0.019841,9.6202,0.10605,-0.020176,6.2874,1,0.12042,10.8,12.25,3.155
9.6183,0.10691,-0.020401,9.6188,0.10651,-0.020738,6.3012,1,0.13046,10.81,12.25,3.155
9.6169,0.10738,-0.020962,9.6174,0.10698,-0.0213,6.315,1,0.14049,10.82,12.25,3.155
9.6155,0.1078,-0.021531,9.616,0.10739,-0.021871,6.3292,1,0.15053,10.831,12.25,3.155
9.614,0.10826,-0.022137,9.6145,0.10784,-0.022478,6.3437,1,0.16056,10.841,12.25,3.155
9.6125,0.10877,-0.02277,9.613,0.10835,-0.023113,6.3585,1,0.1706,10.851,12.25,3.155
9.6111,0.10928,-0.023402,9.6115,0.10885,-0.023747,6.3733,1,0.18063,10.861,12.25,3.155
9.6096,0.10978,-0.024035,9.61,0.10936,-0.024381,6.3881,1,0.19066,10.871,12.25,3.155
