"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.758,0.065727,0.1839,9.7581,0.065567,0.18357,4.3367,1,0,10.68,12.25,6.845
9.757,0.066053,0.18453,9.7571,0.065892,0.1842,4.3461,1,0.010035,10.69,12.25,6.845
9.756,0.066379,0.18516,9.7561,0.066216,0.18483,4.3555,1,0.02007,10.7,12.25,6.845
9.7551,0.066705,0.18579,9.7551,0.066541,0.18546,4.3649,1,0.030105,10.71,12.25,6.845
9.7541,0.067031,0.18642,9.7541,0.066865,0.18608,4.3744,1,0.04014,10.72,12.25,6.845
9.7531,0.067357,0.18705,9.7531,0.06719,0.18671,4.3838,1,0.050175,10.73,12.25,6.845
9.7521,0.067683,0.18768,9.7521,0.067514,0.18734,4.3932,1,0.060209,10.74,12.25,6.845
9.7511,0.067977,0.18832,9.7511,0.067806,0.18798,4.4028,1,0.070245,10.75,12.25,6.845
9.75,0.068267,0.18896,9.75,0.068094,0.18861,4.4124,1,0.080279,10.76,12.25,6.845
9.749,0.068557,0.18959,9.749,0.068382,0.18925,4.422,1,0.090315,10.77,12.25,6.845
9.748,0.068847,0.19023,9.748,0.06867,0.18989,4.4317,1,0.10035,10.78,12.25,6.845
9.7469,0.069196,0.19091,9.7469,0.069017,0.19056,4.4416,1,0.11038,10.79,12.25,6.845
9.7459,0.069548,0.19158,9.7459,0.069367,0.19123,4.4516,1,0.12042,10.8,12.25,6.845
9.7448,0.0699,0.19225,9.7448,0.069717,0.1919,4.4616,1,0.13046,10.81,12.25,6.845
9.7438,0.070252,0.19293,9.7438,0.070067,0.19258,4.4715,1,0.14049,10.82,12.25,6.845
9.7427,0.070604,0.1936,9.7427,0.070417,0.19325,4.4815,1,0.15053,10.831,12.25,6.845
9.7417,0.070955,0.19428,9.7417,0.070767,0.19392,4.4915,1,0.16056,10.841,12.25,6.845
9.7406,0.071307,0.19495,9.7406,0.071117,0.1946,4.5014,1,0.1706,10.851,12.25,6.845
9.7396,0.071659,0.19563,9.7395,0.071467,0.19527,4.5114,1,0.18063,10.861,12.25,6.845
9.7385,0.072008,0.1963,9.7385,0.071814,0.19594,4.5214,1,0.19066,10.871,12.25,6.845
9.7374,0.072321,0.19698,9.7374,0.072124,0.19662,4.5316,1,0.2007,10.881,12.25,6.845
9.7364,0.072634,0.19767,9.7363,0.072435,0.19731,4.5417,1,0.21073,10.891,12.25,6.845
9.7353,0.072947,0.19835,9.7352,0.072746,0.19799,4.5519,1,0.22077,10.901,12.25,6.845
9.7342,0.073282,0.19905,9.7341,0.073078,0.19868,4.5622,1,0.2308,10.911,12.25,6.845
9.7331,0.073661,0.19977,9.733,0.073455,0.1994,4.5727,1,0.24084,10.921,12.25,6.845
9.732,0.074039,0.20049,9.7319,0.073831,0.20012,4.5832,1,0.25087,10.931,12.25,6.845
9.7308,0.074418,0.20121,9.7308,0.074207,0.20084,4.5937,1,0.26091,10.941,12.25,6.845
9.7297,0.074796,0.20193,9.7297,0.074584,0.20156,4.6042,1,0.27094,10.951,12.25,6.845
9.7286,0.075174,0.20265,9.7285,0.07496,0.20228,4.6148,1,0.28098,10.961,12.25,6.845
9.7275,0.075553,0.20337,9.7274,0.075336,0.203,4.6253,1,0.29101,10.971,12.25,6.845
9.7264,0.075931,0.20409,9.7263,0.075712,0.20372,4.6358,1,0.30105,10.981,12.25,6.845
9.7253,0.07631,0.20481,9.7252,0.076089,0.20444,4.6463,1,0.31108,10.991,12.25,6.845
9.7241,0.076651,0.20554,9.724,0.076427,0.20516,4.657,1,0.32112,11.001,12.25,6.845
9.723,0.076988,0.20627,9.7229,0.076761,0.20589,4.6677,1,0.33115,11.011,12.25,6.845
9.7218,0.077325,0.207,9.7217,0.077095,0.20662,4.6785,1,0.34119,11.021,12.25,6.845
9.7207,0.077686,0.20775,9.7206,0.077454,0.20737,4.6893,1,0.35122,11.031,12.25,6.845
9.7195,0.078093,0.20852,9.7194,0.077858,0.20813,4.7004,1,0.36126,11.041,12.25,6.845
9.7183,0.078499,0.20929,9.7182,0.078261,0.2089,4.7114,1,0.37129,11.051,12.25,6.845
9.7171,0.078905,0.21005,9.717,0.078664,0.20967,4.7225,1,0.38133,11.061,12.25,6.845
9.7159,0.079311,0.21082,9.7158,0.079068,0.21043,4.7336,1,0.39137,11.071,12.25,6.845
9.7147,0.079717,0.21159,9.7146,0.079471,0.2112,4.7446,1,0.4014,11.081,12.25,6.845
9.7135,0.080123,0.21236,9.7134,0.079875,0.21197,4.7557,1,0.41144,11.091,12.25,6.845
9.7123,0.080529,0.21313,9.7122,0.080278,0.21274,4.7668,1,0.42147,11.101,12.25,6.845
9.7111,0.080919,0.2139,9.711,0.080666,0.21351,4.7779,1,0.4315,11.112,12.25,6.845
9.7099,0.081281,0.21468,9.7098,0.081024,0.21428,4.7892,1,0.44154,11.122,12.25,6.845
9.7087,0.081643,0.21546,9.7086,0.081383,0.21506,4.8005,1,0.45157,11.132,12.25,6.845
9.7075,0.082004,0.21624,9.7073,0.081741,0.21584,4.8118,1,0.46161,11.142,12.25,6.845
9.7063,0.0824,0.21699,9.7061,0.082134,0.21659,4.8232,1,0.47164,11.152,12.25,6.845
9.7051,0.082796,0.21773,9.705,0.082528,0.21733,4.8346,1,0.48168,11.162,12.25,6.845
9.704,0.083192,0.21848,9.7038,0.082921,0.21807,4.846,1,0.49171,11.172,12.25,6.845
9.7028,0.083588,0.21923,9.7026,0.083314,0.21882,4.8575,1,0.50175,11.182,12.25,6.845
9.7016,0.083984,0.21997,9.7015,0.083708,0.21956,4.8689,1,0.51178,11.192,12.25,6.845
9.7005,0.08438,0.22072,9.7003,0.084101,0.22031,4.8803,1,0.52182,11.202,12.25,6.845
9.6993,0.084776,0.22146,9.6991,0.084495,0.22105,4.8918,1,0.53185,11.212,12.25,6.845
9.6981,0.085155,0.22222,9.6979,0.084871,0.2218,4.9033,1,0.54189,11.222,12.25,6.845
9.6969,0.085508,0.22297,9.6967,0.08522,0.22256,4.9149,1,0.55192,11.232,12.25,6.845
9.6957,0.085861,0.22373,9.6955,0.08557,0.22331,4.9266,1,0.56196,11.242,12.25,6.845
9.6945,0.086238,0.22451,9.6943,0.085943,0.22409,4.9386,1,0.57199,11.252,12.25,6.845
9.6931,0.086709,0.2254,9.6929,0.086411,0.22497,4.9521,1,0.58203,11.262,12.25,6.845
9.6918,0.087181,0.22628,9.6915,0.08688,0.22586,4.9656,1,0.59206,11.272,12.25,6.845
9.6904,0.087652,0.22716,9.6902,0.087348,0.22674,4.9792,1,0.6021,11.282,12.25,6.845
9.689,0.088124,0.22805,9.6888,0.087816,0.22762,4.9927,1,0.61213,11.292,12.25,6.845
9.6877,0.088596,0.22893,9.6874,0.088284,0.2285,5.0062,1,0.62217,11.302,12.25,6.845
9.6863,0.089051,0.22982,9.686,0.088736,0.22939,5.0198,1,0.63221,11.312,12.25,6.845
9.6849,0.089471,0.23072,9.6846,0.089152,0.23028,5.0335,1,0.64224,11.322,12.25,6.845
9.6835,0.089892,0.23162,9.6832,0.089568,0.23118,5.0473,1,0.65228,11.332,12.25,6.845
9.6821,0.090382,0.23255,9.6819,0.090054,0.23211,5.0602,1,0.66231,11.342,12.25,6.845
9.6808,0.090885,0.23349,9.6805,0.090553,0.23305,5.073,1,0.67235,11.352,12.25,6.845
9.6794,0.091388,0.23443,9.6791,0.091052,0.23398,5.0857,1,0.68238,11.362,12.25,6.845
9.678,0.091891,0.23537,9.6777,0.091551,0.23492,5.0984,1,0.69241,11.372,12.25,6.845
9.6766,0.092394,0.2363,9.6763,0.092049,0.23586,5.1112,1,0.70245,11.382,12.25,6.845
9.6752,0.092896,0.23724,9.6749,0.092548,0.23679,5.1239,1,0.71248,11.392,12.25,6.845
9.6738,0.093351,0.23819,9.6735,0.092998,0.23774,5.1369,1,0.72252,11.403,12.25,6.845
9.6724,0.0938,0.23915,9.6721,0.093441,0.2387,5.1499,1,0.73255,11.413,12.25,6.845
9.671,0.09428,0.24011,9.6707,0.093917,0.23966,5.1627,1,0.74259,11.423,12.25,6.845
9.6696,0.09481,0.2411,9.6692,0.094443,0.24064,5.1754,1,0.75262,11.433,12.25,6.845
9.6682,0.095341,0.24209,9.6678,0.094969,0.24163,5.188,1,0.76266,11.443,12.25,6.845
