"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.598,0.11071,-0.013869,9.5986,0.11033,-0.014244,6.6152,1,0,10.68,12.25,3.155
9.5964,0.11121,-0.014475,9.5971,0.11084,-0.014851,6.6303,1,0.010035,10.69,12.25,3.155
9.5949,0.11172,-0.015082,9.5956,0.11134,-0.015459,6.6454,1,0.02007,10.7,12.25,3.155
9.5934,0.11223,-0.015688,9.594,0.11185,-0.016067,6.6605,1,0.030105,10.71,12.25,3.155
9.5918,0.11274,-0.016295,9.5925,0.11235,-0.016675,6.6756,1,0.04014,10.72,12.25,3.155
9.5903,0.11325,-0.016901,9.5909,0.11286,-0.017283,6.6907,1,0.050175,10.73,12.25,3.155
9.5887,0.11376,-0.017508,9.5894,0.11336,-0.017891,6.7058,1,0.060209,10.74,12.25,3.155
9.5872,0.11427,-0.018115,9.5879,0.11387,-0.018499,6.7209,1,0.070245,10.75,12.25,3.155
9.5857,0.11478,-0.018721,9.5863,0.11437,-0.019107,6.736,1,0.080279,10.76,12.25,3.155
9.5841,0.11529,-0.019328,9.5848,0.11488,-0.019715,6.7511,1,0.090315,10.77,12.25,3.155
9.5826,0.1158,-0.019934,9.5832,0.11538,-0.020322,6.7662,1,0.10035,10.78,12.25,3.155
9.581,0.11631,-0.020541,9.5817,0.11589,-0.02093,6.7813,1,0.11038,10.79,12.25,3.155
9.5795,0.11682,-0.021147,9.5802,0.11639,-0.021538,6.7964,1,0.12042,10.8,12.25,3.155
9.578,0.11733,-0.021754,9.5786,0.1169,-0.022146,6.8115,1,0.13046,10.81,12.25,3.155
9.5764,0.11784,-0.022361,9.5771,0.1174,-0.022754,6.8266,1,0.14049,10.82,12.25,3.155
9.5749,0.1183,-0.022976,9.5755,0.11785,-0.023371,6.8421,1,0.15053,10.831,12.25,3.155
9.5732,0.1188,-0.023632,9.5739,0.11835,-0.024029,6.858,1,0.16056,10.841,12.25,3.155
9.5716,0.11935,-0.024317,9.5723,0.1189,-0.024715,6.8741,1,0.1706,10.851,12.25,3.155
9.57,0.11991,-0.025001,9.5706,0.11945,-0.025401,6.8903,1,0.18063,10.861,12.25,3.155
9.5683,0.12046,-0.025686,9.569,0.12,-0.026087,6.9064,1,0.19066,10.871,12.25,3.155
9.5667,0.12102,-0.02637,9.5673,0.12055,-0.026773,6.9225,1,0.2007,10.881,12.25,3.155
9.565,0.12157,-0.027054,9.5657,0.1211,-0.027459,6.9387,1,0.21073,10.891,12.25,3.155
9.5634,0.12213,-0.027739,9.564,0.12165,-0.028145,6.9548,1,0.22077,10.901,12.25,3.155
9.5617,0.12268,-0.028423,9.5624,0.12219,-0.028831,6.971,1,0.2308,10.911,12.25,3.155
9.5601,0.12323,-0.029108,9.5608,0.12274,-0.029517,6.9871,1,0.24084,10.921,12.25,3.155
9.5585,0.12379,-0.029792,9.5591,0.12329,-0.030203,7.0033,1,0.25087,10.931,12.25,3.155
9.5568,0.12434,-0.030477,9.5575,0.12384,-0.030889,7.0194,1,0.26091,10.941,12.25,3.155
9.5552,0.1249,-0.031161,9.5558,0.12439,-0.031575,7.0356,1,0.27094,10.951,12.25,3.155
9.5535,0.12545,-0.031846,9.5542,0.12494,-0.032261,7.0517,1,0.28098,10.961,12.25,3.155
9.5519,0.12601,-0.03253,9.5526,0.12549,-0.032947,7.0679,1,0.29101,10.971,12.25,3.155
9.5502,0.12648,-0.033229,9.5509,0.12596,-0.033648,7.0845,1,0.30105,10.981,12.25,3.155
9.5485,0.12707,-0.033988,9.5491,0.12654,-0.034409,7.1017,1,0.31108,10.991,12.25,3.155
9.5467,0.12767,-0.034753,9.5473,0.12713,-0.035177,7.1189,1,0.32112,11.001,12.25,3.155
9.5449,0.12827,-0.035519,9.5456,0.12773,-0.035945,7.1361,1,0.33115,11.011,12.25,3.155
9.5432,0.12887,-0.036285,9.5438,0.12832,-0.036713,7.1533,1,0.34119,11.021,12.25,3.155
9.5414,0.12947,-0.037051,9.542,0.12892,-0.037481,7.1705,1,0.35122,11.031,12.25,3.155
9.5396,0.13007,-0.037817,9.5403,0.12951,-0.038249,7.1878,1,0.36126,11.041,12.25,3.155
9.5379,0.13068,-0.038583,9.5385,0.13011,-0.039017,7.205,1,0.37129,11.051,12.25,3.155
9.5361,0.13128,-0.039349,9.5368,0.1307,-0.039784,7.2222,1,0.38133,11.061,12.25,3.155
9.5343,0.13188,-0.040115,9.535,0.1313,-0.040553,7.2394,1,0.39137,11.071,12.25,3.155
9.5326,0.13248,-0.040881,9.5332,0.13189,-0.04132,7.2566,1,0.4014,11.081,12.25,3.155
9.5308,0.13308,-0.041647,9.5315,0.13248,-0.042088,7.2739,1,0.41144,11.091,12.25,3.155
9.529,0.13368,-0.042413,9.5297,0.13308,-0.042856,7.2911,1,0.42147,11.101,12.25,3.155
9.5273,0.13427,-0.043181,9.5279,0.13366,-0.043627,7.3084,1,0.4315,11.112,12.25,3.155
9.5255,0.13479,-0.043962,9.5261,0.13418,-0.044411,7.3262,1,0.44154,11.122,12.25,3.155
9.5237,0.13539,-0.04474,9.5244,0.13476,-0.04519,7.3442,1,0.45157,11.132,12.25,3.155
9.522,0.13598,-0.045517,9.5226,0.13535,-0.04597,7.3622,1,0.46161,11.142,12.25,3.155
9.5202,0.13658,-0.046295,9.5209,0.13594,-0.04675,7.3802,1,0.47164,11.152,12.25,3.155
9.5185,0.13717,-0.047072,9.5191,0.13653,-0.04753,7.3982,1,0.48168,11.162,12.25,3.155
9.5167,0.13777,-0.04785,9.5174,0.13711,-0.04831,7.4162,1,0.49171,11.172,12.25,3.155
9.515,0.13836,-0.048627,9.5156,0.1377,-0.04909,7.4342,1,0.50175,11.182,12.25,3.155
9.5132,0.13896,-0.049405,9.5139,0.13829,-0.04987,7.4523,1,0.51178,11.192,12.25,3.155
9.5115,0.13955,-0.050182,9.5121,0.13888,-0.05065,7.4703,1,0.52182,11.202,12.25,3.155
9.5097,0.14015,-0.05096,9.5104,0.13946,-0.05143,7.4883,1,0.53185,11.212,12.25,3.155
9.508,0.14074,-0.051737,9.5086,0.14005,-0.05221,7.5063,1,0.54189,11.222,12.25,3.155
9.5062,0.14134,-0.052514,9.5069,0.14064,-0.05299,7.5243,1,0.55192,11.232,12.25,3.155
9.5045,0.14192,-0.053294,9.5051,0.14121,-0.053773,7.5424,1,0.56196,11.242,12.25,3.155
9.5026,0.14247,-0.054121,9.5032,0.14175,-0.054602,7.5616,1,0.57199,11.252,12.25,3.155
9.5006,0.14319,-0.055081,9.5012,0.14246,-0.055566,7.583,1,0.58203,11.262,12.25,3.155
9.4985,0.1439,-0.056041,9.4991,0.14317,-0.056529,7.6045,1,0.59206,11.272,12.25,3.155
9.4965,0.14462,-0.057001,9.4971,0.14388,-0.057492,7.6259,1,0.6021,11.282,12.25,3.155
9.4944,0.14534,-0.057961,9.495,0.14458,-0.058456,7.6474,1,0.61213,11.292,12.25,3.155
9.4924,0.14606,-0.058921,9.493,0.14529,-0.059419,7.6688,1,0.62217,11.302,12.25,3.155
9.4904,0.14677,-0.059881,9.4909,0.146,-0.060382,7.6902,1,0.63221,11.312,12.25,3.155
9.4883,0.14749,-0.060841,9.4889,0.14671,-0.061346,7.7117,1,0.64224,11.322,12.25,3.155
9.4863,0.14821,-0.061801,9.4868,0.14741,-0.062309,7.7331,1,0.65228,11.332,12.25,3.155
9.4842,0.14893,-0.062761,9.4848,0.14812,-0.063272,7.7546,1,0.66231,11.342,12.25,3.155
9.4821,0.14957,-0.063752,9.4827,0.14876,-0.064267,7.7764,1,0.67235,11.352,12.25,3.155
9.48,0.15034,-0.064802,9.4806,0.14952,-0.065321,7.7969,1,0.68238,11.362,12.25,3.155
9.4779,0.15111,-0.065853,9.4785,0.15027,-0.066375,7.8173,1,0.69241,11.372,12.25,3.155
9.4759,0.15188,-0.066903,9.4764,0.15103,-0.067429,7.8378,1,0.70245,11.382,12.25,3.155
9.4738,0.15265,-0.067954,9.4743,0.15179,-0.068484,7.8582,1,0.71248,11.392,12.25,3.155
9.4717,0.15342,-0.069004,9.4723,0.15255,-0.069538,7.8787,1,0.72252,11.403,12.25,3.155
9.4696,0.15419,-0.070055,9.4702,0.15331,-0.070592,7.8991,1,0.73255,11.413,12.25,3.155
9.4675,0.15496,-0.071105,9.4681,0.15407,-0.071646,7.9196,1,0.74259,11.423,12.25,3.155
9.4655,0.15573,-0.072156,9.466,0.15482,-0.0727,7.94,1,0.75262,11.433,12.25,3.155
9.4634,0.1565,-0.073206,9.4639,0.15558,-0.073754,7.9605,1,0.76266,11.443,12.25,3.155
9.4612,0.15718,-0.074274,9.4618,0.15626,-0.074826,7.9815,1,0.77269,11.453,12.25,3.155
9.4591,0.158,-0.075411,9.4596,0.15706,-0.075968,8.0022,1,0.78273,11.463,12.25,3.155
9.457,0.15882,-0.076549,9.4575,0.15787,-0.07711,8.0228,1,0.79276,11.473,12.25,3.155
9.4549,0.15964,-0.077686,9.4554,0.15867,-0.078251,8.0435,1,0.8028,11.483,12.25,3.155
9.4527,0.16046,-0.078823,9.4532,0.15948,-0.079393,8.0641,1,0.81283,11.493,12.25,3.155
9.4506,0.16128,-0.079961,9.4511,0.16029,-0.080535,8.0847,1,0.82287,11.503,12.25,3.155
9.4485,0.16209,-0.081098,9.449,0.16109,-0.081677,8.1054,1,0.8329,11.513,12.25,3.155
9.4463,0.16291,-0.082236,9.4468,0.1619,-0.082819,8.126,1,0.84294,11.523,12.25,3.155
9.4442,0.16373,-0.083373,9.4447,0.1627,-0.083961,8.1467,1,0.85297,11.533,12.25,3.155
9.4421,0.16455,-0.084511,9.4426,0.16351,-0.085103,8.1673,1,0.86301,11.543,12.25,3.155
9.4399,0.16532,-0.085659,9.4404,0.16426,-0.086255,8.1883,1,0.87304,11.553,12.25,3.155
9.4377,0.16613,-0.086868,9.4382,0.16506,-0.08747,8.2099,1,0.88308,11.563,12.25,3.155
9.4355,0.167,-0.0881,9.4359,0.16592,-0.088707,8.2314,1,0.89312,11.573,12.25,3.155
9.4332,0.16788,-0.089332,9.4337,0.16678,-0.089945,8.253,1,0.90315,11.583,12.25,3.155
9.431,0.16875,-0.090565,9.4315,0.16764,-0.091183,8.2746,1,0.91319,11.593,12.25,3.155
9.4288,0.16962,-0.091797,9.4292,0.16849,-0.092421,8.2962,1,0.92322,11.603,12.25,3.155
9.4266,0.17049,-0.093029,9.427,0.16935,-0.093658,8.3177,1,0.93325,11.613,12.25,3.155
9.4243,0.17137,-0.094262,9.4248,0.17021,-0.094896,8.3393,1,0.94329,11.623,12.25,3.155
9.4221,0.17224,-0.095494,9.4225,0.17107,-0.096134,8.3609,1,0.95332,11.633,12.25,3.155
9.4199,0.17311,-0.096726,9.4203,0.17192,-0.097372,8.3825,1,0.96336,11.643,12.25,3.155
9.4176,0.17398,-0.097958,9.418,0.17278,-0.098609,8.404,1,0.97339,11.653,12.25,3.155
9.4153,0.17477,-0.099231,9.4157,0.17355,-0.099888,8.4265,1,0.98343,11.663,12.25,3.155
9.413,0.1757,-0.10057,9.4133,0.17446,-0.10123,8.4495,1,0.99346,11.673,12.25,3.155
9.4106,0.17663,-0.10191,9.411,0.17538,-0.10258,8.4724,1,1.0035,11.684,12.25,3.155
9.4082,0.17757,-0.10324,9.4086,0.17629,-0.10392,8.4953,1,1.0135,11.694,12.25,3.155
9.4059,0.1785,-0.10458,9.4062,0.17721,-0.10526,8.5182,1,1.0236,11.704,12.25,3.155
9.4035,0.17943,-0.10592,9.4039,0.17812,-0.10661,8.5411,1,1.0336,11.714,12.25,3.155
9.4012,0.18037,-0.10726,9.4015,0.17904,-0.10795,8.564,1,1.0436,11.724,12.25,3.155
9.3988,0.1813,-0.10859,9.3991,0.17995,-0.1093,8.5869,1,1.0537,11.734,12.25,3.155
9.3965,0.18223,-0.10993,9.3968,0.18087,-0.11064,8.6098,1,1.0637,11.744,12.25,3.155
9.3941,0.18316,-0.11127,9.3944,0.18178,-0.11199,8.6327,1,1.0737,11.754,12.25,3.155
9.3917,0.18405,-0.11261,9.392,0.18265,-0.11334,8.656,1,1.0838,11.764,12.25,3.155
9.3892,0.18496,-0.11403,9.3895,0.18354,-0.11476,8.6801,1,1.0938,11.774,12.25,3.155
9.3867,0.18596,-0.11548,9.387,0.18452,-0.11622,8.7045,1,1.1038,11.784,12.25,3.155
9.3843,0.18696,-0.11694,9.3845,0.18549,-0.11769,8.7288,1,1.1139,11.794,12.25,3.155
