"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.6725,2.1668,0.55432,0.21115,1,8.028,15.708,11.25,6.845
-8.5805,2.1606,0.55764,0.20602,1,8.1283,15.808,11.25,6.845
-8.49,2.1539,0.56068,0.20121,1,8.2287,15.909,11.25,6.845
-8.4006,2.1482,0.56357,0.19718,1,8.3291,16.009,11.25,6.845
-8.313,2.1425,0.56621,0.19389,1,8.4294,16.109,11.25,6.845
-8.226,2.1368,0.56866,0.19068,1,8.5297,16.21,11.25,6.845
-8.1394,2.1313,0.57112,0.18785,1,8.6301,16.31,11.25,6.845
-8.0535,2.1257,0.57334,0.18465,1,8.7304,16.41,11.25,6.845
-7.9677,2.1201,0.57563,0.18173,1,8.8308,16.511,11.25,6.845
-7.8828,2.1147,0.57771,0.17847,1,8.9312,16.611,11.25,6.845
-7.7983,2.1092,0.57987,0.17564,1,9.0315,16.712,11.25,6.845
-7.7148,2.1037,0.58174,0.17288,1,9.1318,16.812,11.25,6.845
-7.6317,2.0985,0.58352,0.1702,1,9.2322,16.912,11.25,6.845
-7.5493,2.0921,0.58485,0.16809,1,9.3326,17.013,11.25,6.845
-7.4673,2.0863,0.58589,0.16574,1,9.4329,17.113,11.25,6.845
-7.3859,2.0792,0.58633,0.16364,1,9.5332,17.213,11.25,6.845
-7.305,2.0728,0.58634,0.16136,1,9.6336,17.314,11.25,6.845
-7.2245,2.0649,0.58587,0.15926,1,9.7339,17.414,11.25,6.845
-7.1445,2.058,0.5849,0.157,1,9.8343,17.514,11.25,6.845
-7.0646,2.0495,0.58367,0.15494,1,9.9347,17.615,11.25,6.845
-6.9853,2.0421,0.58191,0.15268,1,10.035,17.715,11.25,6.845
