"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.2846,1.4936,0.53635,-0.047928,1,8.5297,16.21,12,6.845
-8.1951,1.4819,0.53909,-0.054066,1,8.6301,16.31,12,6.845
-8.1058,1.4716,0.54186,-0.059454,1,8.7304,16.41,12,6.845
-8.0169,1.4624,0.54473,-0.0642,1,8.8308,16.511,12,6.845
-7.9287,1.4554,0.54702,-0.068422,1,8.9312,16.611,12,6.845
-7.8416,1.4484,0.55007,-0.071697,1,9.0315,16.712,12,6.845
-7.7552,1.4447,0.55177,-0.074736,1,9.1318,16.812,12,6.845
-7.6701,1.4396,0.55467,-0.07681,1,9.2322,16.912,12,6.845
-7.5854,1.4383,0.5559,-0.079114,1,9.3326,17.013,12,6.845
-7.5016,1.4355,0.55806,-0.080685,1,9.4329,17.113,12,6.845
-7.4185,1.436,0.55915,-0.082447,1,9.5332,17.213,12,6.845
-7.3361,1.4358,0.56076,-0.08376,1,9.6336,17.314,12,6.845
-7.2543,1.4384,0.56154,-0.085371,1,9.7339,17.414,12,6.845
-7.1729,1.441,0.56252,-0.086854,1,9.8343,17.514,12,6.845
-7.092,1.4455,0.56286,-0.088696,1,9.9347,17.615,12,6.845
-7.0114,1.4505,0.5632,-0.09041,1,10.035,17.715,12,6.845
