"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.94328,8.6637,0.1646,0.071067,1,7.8273,15.507,11.25,6.845
-0.9038,8.6588,0.16462,0.068306,1,7.9276,15.608,11.25,6.845
-0.86796,8.6541,0.16467,0.065455,1,8.028,15.708,11.25,6.845
-0.83209,8.6498,0.16468,0.063136,1,8.1283,15.808,11.25,6.845
-0.79887,8.6455,0.16471,0.060808,1,8.2287,15.909,11.25,6.845
-0.76838,8.6414,0.16475,0.058455,1,8.3291,16.009,11.25,6.845
-0.73808,8.6377,0.16477,0.056527,1,8.4294,16.109,11.25,6.845
-0.71056,8.634,0.1648,0.054469,1,8.5297,16.21,11.25,6.845
-0.68408,8.6305,0.16483,0.052596,1,8.6301,16.31,11.25,6.845
-0.65833,8.6272,0.16485,0.050913,1,8.7304,16.41,11.25,6.845
-0.6351,8.6238,0.16489,0.049068,1,8.8308,16.511,11.25,6.845
-0.61175,8.6209,0.1649,0.047613,1,8.9312,16.611,11.25,6.845
-0.59037,8.6179,0.16494,0.046014,1,9.0315,16.712,11.25,6.845
-0.56956,8.6151,0.16496,0.044607,1,9.1318,16.812,11.25,6.845
-0.54972,8.6124,0.16499,0.043241,1,9.2322,16.912,11.25,6.845
-0.53106,8.6098,0.16503,0.041888,1,9.3326,17.013,11.25,6.845
-0.5127,8.6074,0.16505,0.040708,1,9.4329,17.113,11.25,6.845
-0.49586,8.6048,0.16509,0.039422,1,9.5332,17.213,11.25,6.845
-0.47894,8.6027,0.16512,0.038387,1,9.6336,17.314,11.25,6.845
-0.46362,8.6003,0.16517,0.037178,1,9.7339,17.414,11.25,6.845
-0.44817,8.5984,0.1652,0.036241,1,9.8343,17.514,11.25,6.845
-0.43402,8.5961,0.16525,0.03514,1,9.9347,17.615,11.25,6.845
-0.41987,8.5944,0.16529,0.034275,1,10.035,17.715,11.25,6.845
