"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.671,1.4851,0.50519,-0.045784,1,8.1283,15.808,12.25,6.845
-8.5751,1.4677,0.50704,-0.055043,1,8.2287,15.909,12.25,6.845
-8.4817,1.4515,0.50915,-0.063983,1,8.3291,16.009,12.25,6.845
-8.391,1.4389,0.51092,-0.072028,1,8.4294,16.109,12.25,6.845
-8.3006,1.4274,0.51263,-0.079836,1,8.5297,16.21,12.25,6.845
-8.2102,1.42,0.51362,-0.087142,1,8.6301,16.31,12.25,6.845
-8.1198,1.4136,0.51449,-0.094167,1,8.7304,16.41,12.25,6.845
-8.0291,1.41,0.51476,-0.101,1,8.8308,16.511,12.25,6.845
-7.9394,1.4078,0.515,-0.10702,1,8.9312,16.611,12.25,6.845
-7.8499,1.4074,0.51488,-0.11287,1,9.0315,16.712,12.25,6.845
-7.7622,1.4086,0.5148,-0.11743,1,9.1318,16.812,12.25,6.845
-7.6748,1.4102,0.51468,-0.1218,1,9.2322,16.912,12.25,6.845
-7.5889,1.415,0.51404,-0.12554,1,9.3326,17.013,12.25,6.845
-7.5034,1.4195,0.51356,-0.12905,1,9.4329,17.113,12.25,6.845
-7.4191,1.4268,0.51253,-0.13238,1,9.5332,17.213,12.25,6.845
-7.3352,1.434,0.51161,-0.1355,1,9.6336,17.314,12.25,6.845
-7.2522,1.4438,0.51015,-0.13872,1,9.7339,17.414,12.25,6.845
-7.1697,1.4535,0.50879,-0.14176,1,9.8343,17.514,12.25,6.845
-7.0878,1.4655,0.50697,-0.14501,1,9.9347,17.615,12.25,6.845
-7.0065,1.4776,0.50525,-0.14802,1,10.035,17.715,12.25,6.845
