"Q","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.62449,8.2968,0.35598,0.13996,8.3029,0.36138,0.15025,17.22,1,0,13.38,12.055,5
-0.62475,8.2967,0.35589,0.1414,8.3028,0.36136,0.15163,17.224,1,0.0033751,13.38,12.055,5.0034
-0.625,8.2966,0.35581,0.14283,8.3028,0.36134,0.15301,17.227,1,0.0067501,13.38,12.055,5.0068
-0.62525,8.2964,0.35572,0.14427,8.3027,0.36133,0.1544,17.231,1,0.010125,13.38,12.055,5.0101
-0.62551,8.2963,0.35564,0.14571,8.3027,0.36131,0.15578,17.234,1,0.0135,13.38,12.055,5.0135
-0.62576,8.2961,0.35555,0.14714,8.3027,0.36129,0.15716,17.238,1,0.016875,13.38,12.055,5.0169
-0.62601,8.296,0.35547,0.14858,8.3026,0.36128,0.15855,17.241,1,0.02025,13.38,12.055,5.0202
-0.62627,8.2958,0.35538,0.15001,8.3026,0.36126,0.15993,17.244,1,0.023625,13.38,12.055,5.0236
-0.62652,8.2957,0.3553,0.15145,8.3025,0.36124,0.16131,17.248,1,0.027,13.38,12.055,5.027
-0.62672,8.2956,0.35521,0.15287,8.3025,0.36123,0.16268,17.251,1,0.030375,13.38,12.055,5.0304
-0.6269,8.2954,0.35512,0.15427,8.3025,0.36121,0.16404,17.253,1,0.03375,13.38,12.055,5.0338
-0.62708,8.2953,0.35504,0.15568,8.3024,0.3612,0.1654,17.256,1,0.037125,13.38,12.055,5.0371
-0.62725,8.2952,0.35495,0.15709,8.3024,0.36118,0.16676,17.258,1,0.0405,13.38,12.055,5.0405
-0.62743,8.2951,0.35487,0.1585,8.3024,0.36117,0.16812,17.261,1,0.043875,13.38,12.055,5.0439
-0.62761,8.295,0.35478,0.1599,8.3023,0.36116,0.16948,17.263,1,0.04725,13.38,12.055,5.0472
-0.62778,8.2949,0.35469,0.16131,8.3023,0.36114,0.17084,17.266,1,0.050625,13.38,12.055,5.0506
-0.62796,8.2948,0.35461,0.16272,8.3023,0.36113,0.17221,17.268,1,0.054,13.38,12.055,5.054
-0.62813,8.2947,0.35452,0.16413,8.3022,0.36111,0.17357,17.271,1,0.057375,13.38,12.055,5.0574
-0.62831,8.2945,0.35444,0.16553,8.3022,0.3611,0.17493,17.273,1,0.06075,13.38,12.055,5.0608
-0.62849,8.2944,0.35435,0.16694,8.3021,0.36108,0.17629,17.275,1,0.064125,13.38,12.055,5.0641
-0.62866,8.2943,0.35426,0.16835,8.3021,0.36107,0.17765,17.278,1,0.0675,13.38,12.055,5.0675
-0.62884,8.2942,0.35418,0.16976,8.3021,0.36105,0.17901,17.28,1,0.070875,13.38,12.055,5.0709
-0.62902,8.2941,0.35409,0.17116,8.302,0.36104,0.18037,17.283,1,0.07425,13.38,12.055,5.0743
-0.62919,8.294,0.35401,0.17257,8.302,0.36102,0.18173,17.285,1,0.077625,13.38,12.055,5.0776
-0.62937,8.2939,0.35392,0.17398,8.302,0.36101,0.18309,17.288,1,0.081,13.38,12.055,5.081
-0.62955,8.2938,0.35383,0.17539,8.3019,0.36099,0.18445,17.29,1,0.084375,13.38,12.055,5.0844
-0.62988,8.2938,0.35378,0.17687,8.302,0.361,0.18585,17.295,1,0.08775,13.38,12.055,5.0877
-0.63024,8.2938,0.35374,0.17837,8.3021,0.36102,0.18726,17.3,1,0.091125,13.38,12.055,5.0911
-0.63061,8.2938,0.35369,0.17987,8.3022,0.36104,0.18866,17.304,1,0.0945,13.38,12.055,5.0945
-0.63098,8.2939,0.35365,0.18137,8.3023,0.36105,0.19007,17.309,1,0.097875,13.38,12.055,5.0979
-0.63134,8.2939,0.35361,0.18287,8.3024,0.36107,0.19147,17.314,1,0.10125,13.38,12.055,5.1013
-0.63171,8.294,0.35356,0.18437,8.3025,0.36109,0.19288,17.319,1,0.10463,13.38,12.055,5.1046
-0.63208,8.294,0.35352,0.18587,8.3026,0.3611,0.19428,17.324,1,0.108,13.38,12.055,5.108
-0.63244,8.294,0.35348,0.18737,8.3027,0.36112,0.19569,17.329,1,0.11137,13.38,12.055,5.1114
-0.63281,8.2941,0.35343,0.18887,8.3028,0.36114,0.1971,17.333,1,0.11475,13.38,12.055,5.1147
-0.63318,8.2941,0.35339,0.19037,8.3029,0.36115,0.1985,17.338,1,0.11812,13.38,12.055,5.1181
-0.63354,8.2941,0.35334,0.19187,8.303,0.36117,0.19991,17.343,1,0.1215,13.38,12.055,5.1215
-0.63391,8.2942,0.3533,0.19337,8.3031,0.36119,0.20131,17.348,1,0.12488,13.38,12.055,5.1249
-0.63428,8.2942,0.35326,0.19487,8.3032,0.3612,0.20272,17.353,1,0.12825,13.38,12.055,5.1283
-0.63464,8.2943,0.35321,0.19637,8.3033,0.36122,0.20412,17.358,1,0.13163,13.38,12.055,5.1316
-0.63501,8.2943,0.35317,0.19787,8.3034,0.36124,0.20553,17.362,1,0.135,13.38,12.055,5.135
-0.63538,8.2943,0.35313,0.19937,8.3035,0.36125,0.20693,17.367,1,0.13837,13.38,12.055,5.1384
-0.63574,8.2944,0.35308,0.20087,8.3036,0.36127,0.20834,17.372,1,0.14175,13.38,12.055,5.1417
-0.63611,8.2944,0.35304,0.20237,8.3037,0.36129,0.20974,17.377,1,0.14512,13.38,12.055,5.1451
-0.63648,8.2944,0.35299,0.20387,8.3038,0.3613,0.21115,17.382,1,0.1485,13.38,12.055,5.1485
-0.63684,8.2945,0.35295,0.20537,8.3039,0.36132,0.21256,17.387,1,0.15188,13.38,12.055,5.1519
-0.63721,8.2945,0.35291,0.20687,8.304,0.36134,0.21396,17.392,1,0.15525,13.38,12.055,5.1553
-0.63758,8.2946,0.35286,0.20836,8.3041,0.36135,0.21537,17.396,1,0.15863,13.38,12.055,5.1586
-0.63794,8.2946,0.35282,0.20986,8.3042,0.36137,0.21677,17.401,1,0.162,13.38,12.055,5.162
-0.63831,8.2946,0.35277,0.21136,8.3043,0.36139,0.21818,17.406,1,0.16538,13.38,12.055,5.1654
-0.63868,8.2947,0.35273,0.21286,8.3044,0.3614,0.21958,17.411,1,0.16875,13.38,12.055,5.1687
-0.63904,8.2947,0.35269,0.21436,8.3045,0.36142,0.22099,17.416,1,0.17212,13.38,12.055,5.1721
-0.63941,8.2948,0.35264,0.21586,8.3046,0.36144,0.22239,17.421,1,0.1755,13.38,12.055,5.1755
-0.63978,8.2948,0.3526,0.21736,8.3047,0.36146,0.2238,17.425,1,0.17887,13.38,12.055,5.1789
-0.64014,8.2948,0.35256,0.21886,8.3048,0.36147,0.22521,17.43,1,0.18225,13.38,12.055,5.1823
-0.64051,8.2949,0.35251,0.22036,8.3049,0.36149,0.22661,17.435,1,0.18563,13.38,12.055,5.1856
-0.64088,8.2949,0.35247,0.22186,8.305,0.36151,0.22802,17.44,1,0.189,13.38,12.055,5.189
-0.64124,8.2949,0.35242,0.22336,8.3051,0.36152,0.22942,17.445,1,0.19238,13.38,12.055,5.1924
-0.64161,8.295,0.35238,0.22486,8.3052,0.36154,0.23083,17.45,1,0.19575,13.38,12.055,5.1958
-0.64198,8.295,0.35234,0.22636,8.3053,0.36156,0.23223,17.455,1,0.19912,13.38,12.055,5.1991
-0.64234,8.2951,0.35229,0.22786,8.3054,0.36157,0.23364,17.459,1,0.2025,13.38,12.055,5.2025
-0.64271,8.2951,0.35225,0.22936,8.3055,0.36159,0.23504,17.464,1,0.20587,13.38,12.055,5.2059
-0.64308,8.2951,0.35221,0.23086,8.3056,0.36161,0.23645,17.469,1,0.20925,13.38,12.055,5.2092
-0.64344,8.2952,0.35216,0.23236,8.3057,0.36162,0.23785,17.474,1,0.21263,13.38,12.055,5.2126
-0.64381,8.2952,0.35212,0.23386,8.3058,0.36164,0.23926,17.479,1,0.216,13.38,12.055,5.216
