U:0,U:0,U:0,U0mean,Error,a ,,Points:2,
9.5512,9.5538,9.5524,9.552466667,0.000132601,0.979720789,,7.4637,1.094977778
9.5592,9.5617,9.5603,9.5604,0.000125518,0.980541394,,7.4975,1.11
9.5671,9.5696,9.5682,9.5683,0.000125414,0.981351742,,7.5312,1.124977778
9.575,9.5774,9.5761,9.576166667,0.00012183,0.98216209,,7.565,1.14
9.5827,9.5851,9.5838,9.583866667,0.000121732,0.982951923,,7.5988,1.155022222
9.5904,9.5928,9.5915,9.591566667,0.000121635,0.983741755,,7.6325,1.17
9.5982,9.6005,9.5993,9.599333333,0.000118064,0.984541846,,7.6663,1.185022222
9.6059,9.6082,9.607,9.607033333,0.000117969,0.985331678,,7.7,1.2
9.6137,9.6159,9.6147,9.614766667,0.00011094,0.986131769,,7.7337,1.214977778
9.6214,9.6236,9.6225,9.6225,0.000114315,0.986921601,,7.7675,1.23
9.6291,9.6312,9.6302,9.630166667,0.000110763,0.987711434,,7.8012,1.244977778
9.6365,9.6386,9.6376,9.637566667,0.000110678,0.988470494,,7.835,1.26
9.6439,9.6459,9.6449,9.6449,0.000103682,0.989229554,,7.8688,1.275022222
9.6512,9.6532,9.6523,9.652233333,0.000107056,0.989978357,,7.9025,1.29
9.6586,9.6605,9.6596,9.659566667,0.000100074,0.990737417,,7.9363,1.305022222
9.6659,9.6678,9.6669,9.666866667,1.00E-04,0.991486219,,7.97,1.32
9.6733,9.6751,9.6743,9.674233333,9.65E-05,0.992245279,,8.0037,1.334977778
9.6806,9.6824,9.6816,9.681533333,9.64E-05,0.992994081,,8.0375,1.35
9.6877,9.6894,9.6887,9.6886,9.29E-05,0.993722369,,8.0712,1.364977778
9.6945,9.6962,9.6954,9.695366667,8.94E-05,0.994419883,,8.105,1.38
9.7013,9.7029,9.7022,9.702133333,8.59E-05,0.995117398,,8.1388,1.395022222
9.708,9.7097,9.709,9.7089,9.27E-05,0.995804655,,8.1725,1.41
9.7148,9.7165,9.7158,9.7157,9.26E-05,0.996502169,,8.2063,1.425022222
9.7216,9.7232,9.7225,9.722433333,8.57E-05,0.997199684,,8.24,1.44
9.7284,9.73,9.7293,9.729233333,8.57E-05,0.997897199,,8.2738,1.455022222
9.7351,9.7366,9.736,9.7359,8.22E-05,0.998584456,,8.3075,1.47
9.7413,9.7427,9.7421,9.742033333,7.53E-05,0.999220425,,8.3413,1.485022222
9.7474,9.7488,9.7483,9.748166667,7.86E-05,0.999846136,,8.375,1.5
