"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.6953,0.081126,0.22452,9.6955,0.081252,0.22389,5.0477,1,0,10.68,12.25,6.845
9.694,0.081521,0.22531,9.6943,0.081651,0.22467,5.06,1,0.010035,10.69,12.25,6.845
9.6928,0.081917,0.2261,9.693,0.082049,0.22546,5.0723,1,0.02007,10.7,12.25,6.845
9.6915,0.082313,0.22689,9.6917,0.082447,0.22624,5.0846,1,0.030105,10.71,12.25,6.845
9.6902,0.082709,0.22767,9.6905,0.082845,0.22703,5.0969,1,0.04014,10.72,12.25,6.845
9.689,0.083105,0.22846,9.6892,0.083243,0.22781,5.1092,1,0.050175,10.73,12.25,6.845
9.6877,0.0835,0.22925,9.6879,0.083641,0.22859,5.1215,1,0.060209,10.74,12.25,6.845
9.6864,0.083896,0.23004,9.6867,0.084039,0.22938,5.1338,1,0.070245,10.75,12.25,6.845
9.6852,0.084292,0.23082,9.6854,0.084438,0.23016,5.1461,1,0.080279,10.76,12.25,6.845
9.6839,0.084688,0.23161,9.6841,0.084836,0.23095,5.1584,1,0.090315,10.77,12.25,6.845
9.6826,0.085083,0.2324,9.6829,0.085234,0.23173,5.1707,1,0.10035,10.78,12.25,6.845
9.6814,0.085479,0.23319,9.6816,0.085632,0.23251,5.183,1,0.11038,10.79,12.25,6.845
9.6801,0.085875,0.23397,9.6803,0.08603,0.2333,5.1953,1,0.12042,10.8,12.25,6.845
9.6788,0.086271,0.23476,9.6791,0.086428,0.23408,5.2076,1,0.13046,10.81,12.25,6.845
9.6776,0.086667,0.23555,9.6778,0.086827,0.23487,5.22,1,0.14049,10.82,12.25,6.845
9.6763,0.087019,0.23635,9.6765,0.087181,0.23566,5.2324,1,0.15053,10.831,12.25,6.845
9.675,0.087409,0.23718,9.6752,0.087574,0.23649,5.2454,1,0.16056,10.841,12.25,6.845
9.6736,0.087841,0.23803,9.6738,0.088008,0.23734,5.2586,1,0.1706,10.851,12.25,6.845
9.6722,0.088273,0.23888,9.6724,0.088443,0.23819,5.2718,1,0.18063,10.861,12.25,6.845
9.6709,0.088704,0.23974,9.6711,0.088878,0.23904,5.285,1,0.19066,10.871,12.25,6.845
9.6695,0.089136,0.24059,9.6697,0.089312,0.23989,5.2982,1,0.2007,10.881,12.25,6.845
9.6682,0.089568,0.24144,9.6684,0.089747,0.24074,5.3114,1,0.21073,10.891,12.25,6.845
9.6668,0.089999,0.2423,9.667,0.090182,0.24159,5.3247,1,0.22077,10.901,12.25,6.845
9.6655,0.090431,0.24315,9.6657,0.090617,0.24243,5.3379,1,0.2308,10.911,12.25,6.845
9.6641,0.090863,0.244,9.6643,0.091051,0.24328,5.3511,1,0.24084,10.921,12.25,6.845
9.6628,0.091295,0.24486,9.6629,0.091486,0.24413,5.3643,1,0.25087,10.931,12.25,6.845
9.6614,0.091726,0.24571,9.6616,0.091921,0.24498,5.3775,1,0.26091,10.941,12.25,6.845
9.6601,0.092158,0.24657,9.6602,0.092356,0.24583,5.3907,1,0.27094,10.951,12.25,6.845
9.6587,0.09259,0.24742,9.6589,0.09279,0.24668,5.4039,1,0.28098,10.961,12.25,6.845
9.6573,0.093022,0.24827,9.6575,0.093225,0.24753,5.4171,1,0.29101,10.971,12.25,6.845
