U:0,U:0,U:0,U0_avg,a_U0avg,,Points:0,x/D
3.6438,3.6792,3.5798,3.634266667,0.372770,,16.31,0.957777778
3.632,3.6679,3.5678,3.622566667,0.371569,,16.41,0.98
3.621,3.6572,3.5567,3.611633333,0.370448,,16.511,1.002444444
3.611,3.6475,3.5465,3.601666667,0.369426,,16.611,1.024666667
3.6016,3.6381,3.5369,3.5922,0.368455,,16.712,1.047111111
3.5932,3.6298,3.5285,3.583833333,0.367597,,16.812,1.069333333
3.5851,3.6217,3.5203,3.5757,0.366762,,16.912,1.091555556
3.5782,3.6147,3.5134,3.568766667,0.366051,,17.013,1.114
3.5715,3.6078,3.5066,3.561966667,0.365354,,17.113,1.136222222
3.5656,3.6018,3.5007,3.556033333,0.364745,,17.213,1.158444444
3.5598,3.596,3.495,3.550266667,0.364154,,17.314,1.180888889
3.5545,3.5906,3.4898,3.544966667,0.363610,,17.414,1.203111111
3.5494,3.5855,3.4848,3.5399,0.363090,,17.514,1.225333333
3.5445,3.5806,3.4802,3.5351,0.362598,,17.615,1.247777778
3.5399,3.5759,3.4758,3.530533333,0.362130,,17.715,1.27
