V10,,V15,,V24,
X,Y,X,Y,X,Y
-0.963815789473684,1.0011834319526627,-0.963815789473684,1.0011834319526627,-0.9638157894736845,1.0029585798816565
-0.7598684210526313,0.9798816568047334,-0.763157894736842,0.9798816568047338,-0.7631578947368416,1.0011834319526625
-0.5625,0.9479289940828401,-0.5657894736842106,0.9621301775147927,-0.5624999999999996,0.9905325443786979
-0.3618421052631584,0.8964497041420116,-0.3618421052631582,0.9248520710059169,-0.36184210526315796,0.9763313609467456
-0.16447368421052655,0.7757396449704141,-0.16447368421052677,0.8680473372781065,-0.1644736842105261,0.9603550295857985
0.10197368421052588,0.3585798816568049,0.10526315789473673,0.6337278106508876,0.10526315789473628,0.8715976331360945
0.18092105263157876,0.2840236686390534,0.18092105263157876,0.5698224852071005,0.17763157894736814,0.8094674556213017
0.2598684210526314,0.2289940828402366,0.25986842105263097,0.5254437869822484,0.2598684210526314,0.8272189349112427
0.33223684210526283,0.18639053254437843,0.33552631578947345,0.493491124260355,0.33552631578947345,0.8041420118343191
0.49013157894736814,0.15621301775147933,0.49013157894736814,0.4508875739644971,0.49013157894736814,0.800591715976331
0.6480263157894735,0.14023668639053266,0.6480263157894735,0.4278106508875741,0.6480263157894735,0.7721893491124258
0.8026315789473681,0.1384615384615382,0.8026315789473681,0.4082840236686389,0.8026315789473681,0.7721893491124258
1.0361842105263155,0.12426035502958577,1.0394736842105265,0.39230769230769225,1.039473684210526,0.7668639053254438
1.2697368421052628,0.11005917159763312,1.2697368421052628,0.367455621301775,1.2697368421052624,0.7260355029585797
